country,year,gwno,ccode,ifscode,ifs,iso,gwabbrev,pop_WDI_PW,gdp_WDI_PW,gdppc_WDI_PW,growth_WDI_PW,pop_WDI,pop_den_WDI,pop_urb_WDI,pop0_14_WDI,workingpop_WDI
Mozambique,2015,541,541,688,MOZ,,MZM,27977863,14309762881,511.467329,6.609723214,27977863,35.5780449,32.21,45.3035172,51.3477923
Zambia,2015,551,551,754,ZMB,,ZAM,16211767,26058118447,1607.35831,2.91988111,16211767,21.8078895,40.92,45.9149024,51.1764633
Zimbabwe (Rhodesia),2015,552,552,698,ZWE,,ZIM,15602751,12709382552,814.560365,0.474263932,15602751,40.3328189,32.37,41.6003434,55.435128
Malawi,2015,553,553,676,MWI,,MAW,17215232,8498528242,493.6633,2.826181331,17215232,182.59686,16.27,45.1569807,51.401625
South Africa,2015,560,560,199,ZAF,,SAF,55011976.6,4.17E+11,7585.75805,1.264651378,55011976,45.3486358,64.8,29.2392297,65.7274089
Namibia,2015,565,565,728,NAM,,NAM,2458830,14753072613,6000.03766,5.295222348,2458830,2.98659038,46.66,36.6901331,59.784735
Lesotho,2015,570,570,666,LSO,,LES,2135022,2925547794,1370.26587,1.611940435,2135022,70.3235177,27.31,36.0726493,59.7850514
Botswana,2015,571,571,616,BWA,,BOT,2262485,16018663550,7080.11922,-0.25494143,2262485,3.9921744,57.44,31.9980906,64.4038303
Swaziland,2015,572,572,734,SWZ,,SWA,1286970,5221603357,4057.28444,1.867203311,1286970,74.8238372,21.3,37.35495,59.0622159
Madagascar,2015,580,580,674,MDG,,MAG,24235390,9934660186,409.923677,3.054156016,24235390,41.6558783,35.1,41.7093349,55.452848
Comoros,2015,581,581,632,COM,,COM,788474,598210180.8,758.693604,1.015118416,788474,423.682966,28.29,40.2737439,56.9327587
Mauritius,2015,590,590,684,MUS,,MAS,1262605,11955531876,9468.9407,3.468664132,1262605,621.972906,39.67,19.3221553,71.1147868
Seychelles,2015,591,591,718,SYC,,SEY,93419,1265101403,13542.228,3.497813866,93419,203.084782,53.88,23.4453877,69.6758611
Morocco,2015,600,600,686,MAR,,MOR,34377511,1.13E+11,3239.55203,4.508487465,34377511,77.0278086,60.19,27.2220609,66.6097001
Algeria,2015,615,615,612,DZA,,ALG,39666519,1.90E+11,4784.19432,3.763466957,39666519,16.6544217,70.72,28.5387104,65.5232514
Tunisia,2015,616,616,744,TUN,,TUN,11253554,48080578883,4272.47951,0.994642523,11253554,72.4353372,66.84,23.3567369,69.0511726
Libya,2015,620,620,672,LBY,,LIB,6278438,,,,6278438,3.56822692,78.55,29.8328501,65.6264663
Sudan,2015,625,625,732,SDN,,SUD,40234882,72731117404,1807.66324,4.906045175,40234882,22.1273964,33.8,40.5032628,56.1686921
South Sudan,2015,626,626,733,,,SSD,12339812,8856230729,717.695758,-6.34977795,12339812,,18.8,42.085941,54.4495977
Iran (Persia),2015,630,630,429,IRN,,IRN,79109272,,,,79109272,48.5702448,73.37,23.6094714,71.3294138
Turkey (Ottoman Empire),2015,640,640,186,TUR,,TUR,78665830,9.06E+11,11522.7051,3.97194515,78665830,102.21253,73.39,25.6705077,66.7907946
Iraq,2015,645,645,433,IRQ,,IRQ,36423395,1.86E+11,5119.25219,3.019924564,36423395,83.8630387,69.47,40.9827584,55.9610052
Egypt,2015,651,651,469,EGY,,EGY,91508084,2.48E+11,2707.08625,4.2,91508084,91.9263488,43.13,33.1602801,61.6194586
Syria,2015,652,652,463,SYR,,SYR,18502413,,,,18502413,100.759206,57.65,37.1227147,58.8129883
Lebanon,2015,660,660,446,LBN,,LEB,5850743,41221372226,7045.49357,1.3,5850743,571.920136,87.79,23.9930381,67.8712943
Jordan,2015,663,663,439,JOR,,JOR,7594547,30196245380,3976.04299,2.382686856,7594547,85.5434444,83.67,35.5254237,60.6886757
Israel,2015,666,666,436,ISR,,ISR,8380100,2.78E+11,33117.9652,2.507836062,8380100,387.250462,92.14,27.833457,60.9275305
Saudi Arabia,2015,670,670,456,SAU,,SAU,31540372,6.72E+11,21312.8071,3.485616792,31540372,14.6720559,83.13,28.5820122,68.5556815
Yemen (Arab Republic of Yemen),2015,678,678,459,YEM,,YEM,26832215,20780222150,774.450493,-28.0968348,26832215,50.8214766,34.6,40.2638023,56.9491821
"Yemen, People's Republic of",2015,680,680,,YMD,,YPR,,,,,,,,,
Kuwait,2015,690,690,443,KWT,,KUW,3892115,1.40E+11,35888.5809,1.846999262,3892115,218.412738,98.34,22.3241091,75.7057795
Bahrain,2015,692,692,419,BHR,,BAH,1377237,30778452208,22347.9707,2.862955875,1377237,1786.29961,88.77,21.4749531,76.1142054
Qatar,2015,694,694,453,QAT,,QAT,2235355,1.67E+11,74686.6169,3.551015687,2235355,192.537037,99.24,15.5215614,83.2953602
United Arab Emirates,2015,696,696,466,ARE,,UAE,9156963,3.60E+11,39313.2744,3.757642853,9156963,109.53305,85.54,13.9374703,84.9246524
Oman,2015,698,698,449,OMN,,OMA,4490541,71695708713,15965.9401,5.653073739,4490541,14.5090177,77.64,20.5208013,76.898151
Afghanistan,2015,700,700,512,AFG,,AFG,32526562,20158379461,619.751311,0.840718528,32526562,49.8216493,26.7,44.0419494,53.4889608
Turkmenistan,2015,701,701,925,TKM,,TKM,5373502,37253652748,6932.8443,6.49999991,5373502,11.434686,50.03,28.2240148,67.6209109
Tajikistan,2015,702,702,923,TJK,,TAJ,8481855,7912816345,932.91106,6,8481855,61.1146297,26.78,34.8375443,62.1561674
Kyrgyz Republic,2015,703,703,917,KGZ,,KYR,5956900,6059145538,1017.16421,3.469281026,5956900,31.0578727,35.7,31.4016487,64.371506
Uzbekistan,2015,704,704,927,UZB,,UZB,31298900,58114360771,1856.75409,7.999999997,31298900,73.5752233,36.36,28.5199171,66.822346
Kazakhstan,2015,705,705,916,KAZ,,KZK,17544126,1.86E+11,10616.6758,1.2,17544126,6.4985465,53.24,26.7173992,66.546863
Hong Kong,2015,708,,532,,,,7305700,2.64E+11,36173.3172,2.436791891,7305700,6957.80952,100,11.9606755,72.9788063
Macao,2015,709,,546,MAC,,,587606,32823775284,55860.1772,-20.3487325,587606,19392.9372,100,13.0114396,77.997842
China,2015,710,710,924,CHN,,CHN,1371220000,8.91E+12,6497.72578,6.918336423,137122000,146.057646,55.61,17.2316004,73.2171929
Mongolia,2015,712,712,948,MNG,,MON,2959134,11677573630,3946.28078,2.357171189,2959134,1.90474394,72.04,28.2278869,67.7282948
Taiwan,2015,713,713,528,TWN,,TAW,,,,,,,,,
"Korea, People's Republic of",2015,731,731,954,PRK,,PRK,25155317,,,,25155317,208.913852,60.87,21.1674255,69.2931359
"Korea, Republic of",2015,732,732,542,KOR,,ROK,50617045,1.27E+12,25022.8023,2.611935409,50617045,519.255693,82.47,13.9926999,72.880381
Japan,2015,740,740,158,JPN,,JPN,126958472,5.99E+12,47150.3658,1.219438139,126958472,348.251239,93.49,12.8554961,60.8024906
India,2015,750,750,534,IND,,IND,1311050527,2.30E+12,1751.74571,7.933744293,131105052,440.957532,32.74,28.7881273,65.5957625
Bhutan,2015,760,760,514,BTN,,BHU,774830,2067340394,2668.12125,6.491370587,774830,20.3276753,38.64,26.8652478,68.0719641
Pakistan,2015,770,770,564,PAK,,PAK,188924874,2.16E+11,1142.75219,4.712457804,188924874,245.076891,38.75,35.0098378,60.4977812
Bangladesh,2015,771,771,513,BGD,,BNG,160995642,1.57E+11,972.880678,6.552633316,160995642,1236.81064,34.27,29.4469747,65.5794689
Myanmar (Burma),2015,775,775,518,MMR,,MYA,53897154,70537733541,1308.7469,7.294031845,53897154,82.5276443,34.09,27.5506012,67.0897261
Sri Lanka (Ceylon),2015,780,780,524,LKA,,SRI,20966000,76264645402,3637.53913,4.785984567,20966000,334.332642,18.35,24.5738331,66.1229176
